merge+ins,5,random,500,43542
merge+ins,10,random,500,40500
merge+ins,15,random,500,38292
merge+ins,20,random,500,42500
merge+ins,30,random,500,40125
merge+ins,5,random,500,47875
merge+ins,10,random,500,43458
merge+ins,15,random,500,38292
merge+ins,20,random,500,36792
merge+ins,30,random,500,36791
merge+ins,5,random,500,43459
merge+ins,10,random,500,44500
merge+ins,15,random,500,38334
merge+ins,20,random,500,36625
merge+ins,30,random,500,36458
merge+ins,5,sorted,500,22125
merge+ins,10,sorted,500,18667
merge+ins,15,sorted,500,17375
merge+ins,20,sorted,500,16083
merge+ins,30,sorted,500,16042
merge+ins,5,sorted,500,24625
merge+ins,10,sorted,500,21417
merge+ins,15,sorted,500,19875
merge+ins,20,sorted,500,17875
merge+ins,30,sorted,500,65042
merge+ins,5,sorted,500,25333
merge+ins,10,sorted,500,21417
merge+ins,15,sorted,500,20334
merge+ins,20,sorted,500,16916
merge+ins,30,sorted,500,17292
merge+ins,5,almost sorted,500,31583
merge+ins,10,almost sorted,500,75667
merge+ins,15,almost sorted,500,25917
merge+ins,20,almost sorted,500,53416
merge+ins,30,almost sorted,500,54541
merge+ins,5,almost sorted,500,70917
merge+ins,10,almost sorted,500,25500
merge+ins,15,almost sorted,500,26167
merge+ins,20,almost sorted,500,23291
merge+ins,30,almost sorted,500,23250
merge+ins,5,almost sorted,500,30250
merge+ins,10,almost sorted,500,50167
merge+ins,15,almost sorted,500,24459
merge+ins,20,almost sorted,500,24875
merge+ins,30,almost sorted,500,24292
merge+ins,5,random,600,65209
merge+ins,10,random,600,61334
merge+ins,15,random,600,64959
merge+ins,20,random,600,52708
merge+ins,30,random,600,59500
merge+ins,5,random,600,55750
merge+ins,10,random,600,49625
merge+ins,15,random,600,49125
merge+ins,20,random,600,48667
merge+ins,30,random,600,46583
merge+ins,5,random,600,66292
merge+ins,10,random,600,54708
merge+ins,15,random,600,64125
merge+ins,20,random,600,51792
merge+ins,30,random,600,52459
merge+ins,5,sorted,600,35208
merge+ins,10,sorted,600,33834
merge+ins,15,sorted,600,27042
merge+ins,20,sorted,600,23167
merge+ins,30,sorted,600,20541
merge+ins,5,sorted,600,38000
merge+ins,10,sorted,600,24375
merge+ins,15,sorted,600,24292
merge+ins,20,sorted,600,20792
merge+ins,30,sorted,600,21791
